"","Category","Title","VideoID","Readable_Duration","Video_URL"
"PT14M33S","consumer cameras","THE TRUTH ABOUT SWITCHING TO MIRRORLESS CAMERAS: DSLR vs mirrorless cameras explored","-D-TDLP42q4","14:33","https://www.youtube.com/watch?v=-D-TDLP42q4"
"PT4M23S","consumer cameras","Travel back 20 years, when digital cameras were the hottest new technology","q3UOiMl2tOM","04:23","https://www.youtube.com/watch?v=q3UOiMl2tOM"
"PT18M8S","consumer cameras","Evolution &amp; Decline of Digital Cameras  1971 - 2020","pwtJ5wU1Izg","18:08","https://www.youtube.com/watch?v=pwtJ5wU1Izg"
"PT13M18S","consumer cameras","&quot;Let&#39;s Talk Cameras&quot; my early 2000s/old digital cameras and camcorders","vs5JJvVnsKs","13:18","https://www.youtube.com/watch?v=vs5JJvVnsKs"
"PT5M30S","consumer cameras","Understanding DSLR vs. Mirrorless Cameras","4ezKmawMEUs","05:30","https://www.youtube.com/watch?v=4ezKmawMEUs"
"PT3M10S1","consumer cameras","Analog vs. Digital Cameras","BsAmXFcQMQ4","03:10","https://www.youtube.com/watch?v=BsAmXFcQMQ4"
"PT3M57S","stress testing","What to Expect: Nuclear Medicine Stress Test | Cedars-Sinai","bPfnFlR0wJs","03:57","https://www.youtube.com/watch?v=bPfnFlR0wJs"
"PT1M1S1","stress testing","What to expect for a cardiac stress test","-rG-YuMaEtk","01:01","https://www.youtube.com/watch?v=-rG-YuMaEtk"
"PT1M56S","stress testing","What is a stress test?","CyHiNYR8k28","01:56","https://www.youtube.com/watch?v=CyHiNYR8k28"
"PT18M59S","stress testing","Technology Series/Medical-Stress Testing Pearls","40kR8IJvSv4","18:59","https://www.youtube.com/watch?v=40kR8IJvSv4"
"PT3M1S1","stress testing","What is Stress Testing? | Financial Risk Manager Video Training | FRM Tutorial Video","hDkuaLdRjH0","03:01","https://www.youtube.com/watch?v=hDkuaLdRjH0"
"PT1M34S","stress testing","What happens in a stress test? | Victor Chang Cardiac Research Institute","dJQ44PsWrjM","01:34","https://www.youtube.com/watch?v=dJQ44PsWrjM"
"PT45M47S","stress testing","Playing The Isle Gateway! | Public Stress Test","cfYGphJ1-Gw","45:47","https://www.youtube.com/watch?v=cfYGphJ1-Gw"
"PT58M14S","stress testing","nCVI Fellows Bootcamp_Stress Testing_ECG Interpretation and Stress Lab Emergencies","Q6tA1swPIAs","58:14","https://www.youtube.com/watch?v=Q6tA1swPIAs"
"PT6M32S","stress testing","Stress Testing: What to Expect","hEZNFKWpGNE","06:32","https://www.youtube.com/watch?v=hEZNFKWpGNE"
"PT11M15S","stress testing","Cardiac Stress Test | Heart Stress Test Types: Echo, Lexiscan, Chemical, Treadmill","CUkv4ILqT0E","11:15","https://www.youtube.com/watch?v=CUkv4ILqT0E"
"PT10M43S","unit testing","What is Unit Testing? Why YOU Should Learn It + Easy to Understand Examples","3kzHmaeozDI","10:43","https://www.youtube.com/watch?v=3kzHmaeozDI"
"PT2M16S1","unit testing","Software Testing Explained in 100 Seconds","u6QfIXgjwGQ","02:16","https://www.youtube.com/watch?v=u6QfIXgjwGQ"
"PT21M35S","unit testing","Java Unit Testing with JUnit - Tutorial - How to Create And Use Unit Tests","vZm0lHciFsQ","21:35","https://www.youtube.com/watch?v=vZm0lHciFsQ"
"PT11M21S","unit testing","Thoughts About Unit Testing | Prime Reacts","KzV0mTqBcZA","11:21","https://www.youtube.com/watch?v=KzV0mTqBcZA"
"PT8M26S1","unit testing","The ONLY REASON To Unit Test","FF50H2RWaEY","08:26","https://www.youtube.com/watch?v=FF50H2RWaEY"
"PT12M55S","unit testing","Test-Driven Development // Fun TDD Introduction with JavaScript","Jv2uxzhPFl4","12:55","https://www.youtube.com/watch?v=Jv2uxzhPFl4"
"PT39M13S","unit testing","Python Tutorial: Unit Testing Your Code with the unittest Module","6tNS--WetLI","39:13","https://www.youtube.com/watch?v=6tNS--WetLI"
"PT44M56S","unit testing","Unit Testing C# Code - Tutorial for Beginners","HYrXogLj7vg","44:56","https://www.youtube.com/watch?v=HYrXogLj7vg"
"PT1H16M57S","unit testing","Software Testing Tutorial - Learn Unit Testing and Integration Testing","Geq60OVyBPg","01:16:57","https://www.youtube.com/watch?v=Geq60OVyBPg"
"PT13M57S","unit testing","Introduction To Testing In JavaScript With Jest","FgnxcUQ5vho","13:57","https://www.youtube.com/watch?v=FgnxcUQ5vho"
"PT9M18S2","agile project development","Agile Project Management Tutorial | What Is Agile Project Management? | Simplilearn","thsFsPnUHRA","09:18","https://www.youtube.com/watch?v=thsFsPnUHRA"
"PT6M23S2","agile project development","What Is Agile Methodology? | Introduction to Agile Methodology in Six Minutes | Simplilearn","8eVXTyIZ1Hs","06:23","https://www.youtube.com/watch?v=8eVXTyIZ1Hs"
"PT52M18S1","agile project development","Agile Management | Google Project Management Certificate","km7n3DI5IWk","52:18","https://www.youtube.com/watch?v=km7n3DI5IWk"
"PT10M2S1","agile project development","An Overview of Agile Development","QLvBK9stdoM","10:02","https://www.youtube.com/watch?v=QLvBK9stdoM"
"PT4M26S2","agile project development","Agile project management methodology explained (with burgers?!)","zi7uGg6FVM4","04:26","https://www.youtube.com/watch?v=zi7uGg6FVM4"
"PT10M27S","agile project development","What is Agile Project Management? [Benefits + Pitfalls]","GdFnNi66osg","10:27","https://www.youtube.com/watch?v=GdFnNi66osg"
"PT1H7M34S","agile project development","What is Agile Project Management? A Deep Dive into Agile PM","kN01CK6OU_g","01:07:34","https://www.youtube.com/watch?v=kN01CK6OU_g"
"PT11M56S1","agile project development","What is Agile?","Z9QbYZh1YXY","11:56","https://www.youtube.com/watch?v=Z9QbYZh1YXY"
